acquisition_time	studies_id	utm_x	utm_y	sex	gps_positions_animals_id	original_animal_id	animal_year_id
20MAR07:15:00:00	5	417872.9064	6609696.718	f	1086038	3358	33580
20MAR07:18:00:00	5	417985.3488	6609877.403	f	1086037	3358	33580
20MAR07:21:00:00	5	417979.8147	6609884.464	f	1086036	3358	33580
21MAR07:00:00:00	5	417982.2185	6609876.458	f	1086035	3358	33580
21MAR07:03:00:00	5	417981.7069	6609880.156	f	1086034	3358	33580
21MAR07:06:00:00	5	418184.3974	6609811.214	f	1086033	3358	33580
21MAR07:09:01:00	5	419105.3022	6609716.735	f	1086032	3358	33580
21MAR07:12:01:00	5	419574.6417	6609880.284	f	1086031	3358	33580
21MAR07:15:00:00	5	419106.346	6609203.578	f	1086030	3358	33580
21MAR07:18:00:00	5	417623.9411	6608785.941	f	1086029	3358	33580
21MAR07:21:00:00	5	416540.4175	6608270.916	f	1086028	3358	33580
22MAR07:00:00:00	5	416613.0823	6608233.573	f	1087308	3358	33580
22MAR07:03:00:00	5	416391.5522	6608135.777	f	1087307	3358	33580
22MAR07:06:00:00	5	416390.19	6608127.608	f	1087306	3358	33580
22MAR07:09:00:00	5	415890.619	6608215.07	f	1087305	3358	33580
22MAR07:12:00:00	5	416478.938	6607972.457	f	1087304	3358	33580
22MAR07:15:00:00	5	416805.1172	6607928.933	f	1095139	3358	33580
22MAR07:18:00:00	5	417338.4649	6607871.996	f	1095138	3358	33580
22MAR07:21:00:00	5	418420.188	6608163.596	f	1095137	3358	33580
23MAR07:00:03:00	5	419725.1424	6607377.043	f	1095136	3358	33580
23MAR07:03:00:00	5	420011.9877	6607457.544	f	1095135	3358	33580
23MAR07:06:00:00	5	420105.4088	6607401.96	f	1095134	3358	33580
23MAR07:09:00:00	5	420195.0309	6607369.407	f	1095133	3358	33580
23MAR07:12:00:00	5	420194.6538	6607373.448	f	1095132	3358	33580
23MAR07:15:00:00	5	420065.0725	6607156.727	f	1095131	3358	33580
23MAR07:18:00:00	5	421088.2854	6607192.956	f	1095130	3358	33580
23MAR07:21:00:00	5	420908.5932	6607751.753	f	1095129	3358	33580
24MAR07:00:00:00	5	420818.7693	6607418.697	f	1095128	3358	33580
24MAR07:03:00:00	5	420474.5771	6607302.791	f	1095127	3358	33580
24MAR07:06:00:00	5	420465.7183	6607302.344	f	1095126	3358	33580
24MAR07:09:01:00	5	420063.2697	6607342.895	f	1095125	3358	33580
24MAR07:12:01:00	5	420029.7466	6607428.894	f	1095124	3358	33580
24MAR07:15:00:00	5	419737.6691	6607478.133	f	1095123	3358	33580
24MAR07:18:00:00	5	419779.9951	6607386.864	f	1095122	3358	33580
24MAR07:21:00:00	5	420006.5726	6607454.652	f	1095121	3358	33580
25MAR07:00:00:00	5	420006.7989	6607452.821	f	1095120	3358	33580
25MAR07:03:00:00	5	420201.3739	6607750.443	f	1095119	3358	33580
25MAR07:06:00:00	5	419927.5652	6607801.318	f	1095118	3358	33580
25MAR07:09:00:00	5	420318.7759	6608069.353	f	1095117	3358	33580
25MAR07:12:00:00	5	420280.8981	6608236.705	f	1095116	3358	33580
25MAR07:15:00:00	5	419422.5731	6608163.001	f	1095115	3358	33580
25MAR07:18:00:00	5	418875.375	6608238.044	f	1095114	3358	33580
25MAR07:21:00:00	5	418997.8663	6609200.563	f	1095113	3358	33580
26MAR07:00:00:00	5	418456.3966	6609789.81	f	1095112	3358	33580
26MAR07:03:00:00	5	417553.7513	6610716.365	f	1095111	3358	33580
26MAR07:06:00:00	5	417050.6238	6611042.331	f	1095110	3358	33580
26MAR07:09:00:00	5	417145.678	6612499.086	f	1096514	3358	33580
26MAR07:12:00:00	5	417296.3595	6612607.786	f	1096513	3358	33580
26MAR07:15:00:00	5	417330.3582	6612475.953	f	1096512	3358	33580
26MAR07:18:00:00	5	417049.3642	6612384.385	f	1096511	3358	33580
26MAR07:21:00:00	5	416441.6843	6607971.806	f	1096510	3358	33580
27MAR07:00:00:00	5	416523.2032	6607872.371	f	1099471	3358	33580
27MAR07:03:00:00	5	415028.7791	6604383.197	f	1099470	3358	33580
27MAR07:06:01:00	5	415340.1135	6597947.766	f	1099469	3358	33580
27MAR07:09:02:00	5	413882.8346	6591041.979	f	1099468	3358	33580
27MAR07:12:00:00	5	414765.6935	6585444.828	f	1099467	3358	33580
27MAR07:15:00:00	5	415452.6276	6583621.19	f	1099466	3358	33580
27MAR07:18:00:00	5	417458.5083	6583166.981	f	1099465	3358	33580
27MAR07:21:00:00	5	417367.4748	6583213.716	f	1099464	3358	33580
28MAR07:00:00:00	5	417938.2822	6583594.258	f	1099463	3358	33580
28MAR07:03:00:00	5	418121.7461	6583560.238	f	1099462	3358	33580
28MAR07:06:00:00	5	418290.6208	6583233.036	f	1101204	3358	33580
28MAR07:09:00:00	5	418832.897	6582852.908	f	1101192	3358	33580
28MAR07:12:00:00	5	418264.6932	6583344.064	f	1101180	3358	33580
28MAR07:15:00:00	5	418609.8322	6583445.506	f	1101018	3358	33580
28MAR07:18:00:00	5	418462.4905	6583213.141	f	1101166	3358	33580
28MAR07:21:00:00	5	418029.0795	6583691.974	f	1101914	3358	33580
29MAR07:00:00:00	5	418057.7212	6583856.113	f	1102186	3358	33580
29MAR07:03:00:00	5	417944.0602	6584025.99	f	1103086	3358	33580
29MAR07:06:00:00	5	417555.3117	6583693.719	f	1104044	3358	33580
29MAR07:09:00:00	5	417740.511	6583222.76	f	1104032	3358	33580
29MAR07:12:00:00	5	417369.7881	6582854.679	f	1104020	3358	33580
29MAR07:15:00:00	5	416982.4266	6582780.552	f	1105118	3358	33580
29MAR07:18:00:00	5	416788.2649	6582625.269	f	1104801	3358	33580
29MAR07:21:00:00	5	416501.7932	6582916.037	f	1105319	3358	33580
30MAR07:00:00:00	5	416348.3076	6582515.559	f	1106364	3358	33580
30MAR07:03:00:00	5	416340.7056	6582531.177	f	1106352	3358	33580
30MAR07:06:00:00	5	416053.1309	6582527.767	f	1106794	3358	33580
30MAR07:09:00:00	5	416012.9765	6582675.142	f	1107193	3358	33580
30MAR07:12:00:00	5	416347.4567	6582899.674	f	1107622	3358	33580
30MAR07:15:00:00	5	416041.2297	6582996.31	f	1108259	3358	33580
30MAR07:18:00:00	5	416363.7531	6582546.664	f	1110706	3358	33580
30MAR07:21:00:00	5	416264.1904	6582464.775	f	1110694	3358	33580
31MAR07:00:00:00	5	416301.4363	6582323.884	f	1110682	3358	33580
31MAR07:03:00:00	5	416310.7904	6582335.028	f	1110670	3358	33580
31MAR07:06:00:00	5	416425.7137	6582085.84	f	1110913	3358	33580
31MAR07:09:00:00	5	415978.1399	6582017.487	f	1111682	3358	33580
31MAR07:12:00:00	5	416109.9277	6582067.531	f	1113150	3358	33580
31MAR07:15:00:00	5	416942.8596	6583409.077	f	1113138	3358	33580
