Authors;Year;Source title;Cited by
Dejea C.M., Wick E.C., Hechenbleikner E.M., White J.R., Mark Welch J.L., Rossettid B.J., Peterson S.N., Snesrud E.C., Borisy G.G., Lazarev M., Stein E., Vadivelu J., Roslani A.C., Malik A.A., Wanyiri J.W., Goh K.L., Thevambiga I., Fu K., Wan F., Llosa N., Housseau F., Romans K., Wu X., McAllister F.M., Wu S., Vogelstein B., Kinzler K.W., Pardoll D.M., Sears C.L.;2014;Proceedings of the National Academy of Sciences of the United States of America;4
Heyland A., Hodin J., Bishop C.;2014;PLoS ONE;1
Heaney C.D., Exum N.G., Dufour A.P., Brenner K.P., Haugland R.A., Chern E., Schwab K.J., Love D.C., Serre M.L., Noble R., Wade T.J.;2014;Science of the Total Environment;2
Estess E.E., Coffey D.M., Shimose T., Seitz A.C., Rodriguez L., Norton A., Block B., Farwell C.;2014;Aquaculture;1
Wong G.W., Zhuo L., Kimata K., Lam B.K., Satoh N., Stevens R.L.;2014;Biochemical and Biophysical Research Communications;
Kyrpides N.C., Hugenholtz P., Eisen J.A., Woyke T., Goker M., Parker C.T., Amann R., Beck B.J., Chain P.S., Chun J., Colwell R.R., Danchin A., Dawyndt P., Dedeurwaerdere T., DeLong E.F., Detter J.C., De Vos P., Donohue T.J., Dong X.-Z., Ehrlich D.S., Fraser C., Gibbs R., Gilbert J., Gilna P., Glockner F.O., Jansson J.K., Keasling J.D., Knight R., Labeda D., Lapidus A., Lee J.-S., Li W.-J., Ma J., Markowitz V., Moore E.R., Morrison M., Meyer F., Nelson K.E., Ohkuma M., Ouzounis C.A., Pace N., Parkhill J., Qin N., Rossello-Mora R., Sikorski J., Smith D., Sogin M., Stevens R., Stingl U., Suzuki K.-I., Taylor D., Tiedje J.M., Tindall B., Wagner M., Weinstock G., Weissenbach J., White O., Wang J., Zhang L., Zhou Y.-G., Field D., Whitman W.B., Garrity G.M., Klenk H.-P.;2014;PLoS biology;17
Cole A., Denny M.;2014;The Biological bulletin;
Telford M.J.;2014;Proceedings. Biological sciences / The Royal Society;
Elrakaiby M., Dutilh B.E., Rizkallah M.R., Boleij A., Cole J.N., Aziz R.K.;2014;OMICS A Journal of Integrative Biology;6
Selig E.R., Frazier M., O'Leary J.K., Jupiter S.D., Halpern B.S., Longo C., Kleisner K.L., Sivo L., Ranelletti M.;2015;Ecosystem Services;
Telford M.J., Lowe C.J., Cameron C.B., Ortega-Martinez O., Aronowicz J., Oliveri P., Copley R.R.;2014;Proceedings of the Royal Society B: Biological Sciences;11
Hirose S., Blaes O., Krolik J.H., Coleman M.S.B., Sano T.;2014;Astrophysical Journal;5
Heyland A., Hodin J.;2014;BMC Developmental Biology;2
Ferrario F., Beck M.W., Storlazzi C.D., Micheli F., Shepard C.C., Airoldi L.;2014;Nature Communications;15
Fritzenwanker J.H., Gerhart J., Freeman Jr. R.M., Lowe C.J.;2014;EvoDevo;9
Manni L., Gasparini F., Hotta K., Ishizuka K.J., Ricci L., Tiozzo S., Voskoboynik A., Dauga D.;2014;PLoS ONE;6
Hampton T.H., Green D.M., Cutting G.R., Morrison H.G., Sogin M.L., Gifford A.H., Stanton B.A., O'Toole G.A.;2014;Microbiome;7
Hayford K., Uddin M.J., Koehlmoos T.P., Bishai D.M.;2014;Vaccine;
Guidetti P., Baiata P., Ballesteros E., Di Franco A., Hereu B., Macpherson E., Micheli F., Pais A., Panzalis P., Rosenberg A.A., Zabala M., Sala E.;2014;PLoS ONE;9
De Wit P., Rogers-Bennett L., Kudela R.M., Palumbi S.R.;2014;Nature Communications;3
Incardona J.P., Gardner L.D., Linbo T.L., Brown T.L., Esbaugh A.J., Mager E.M., Stieglitz J.D., French B.L., Labenia J.S., Laetz C.A., Tagal M., Sloan C.A., Elizur A., Benetti D.D., Grosell M., Block B.A., Scholz N.L.;2014;Proceedings of the National Academy of Sciences of the United States of America;22
DuBuc T.Q., Traylor-Knowles N., Martindale M.Q.;2014;BMC Biology;5
Field J.C., Litvin S.Y., Carlisle A., Stewart J.S., Gilly W.F., Ruiz-Cooley R.I.;2014;Marine Ecology Progress Series;
Pitari G., Aquila V., Kravitz B., Robock A., Watanabe S., Cionni I., Luca N.D., Genova G.D., Mancini E., Tilmes S.;2014;Journal of Geophysical Research Atmospheres;8
Micheli F., Mumby P.J., Brumbaugh D.R., Broad K., Dahlgren C.P., Harborne A.R., Holmes K.E., Kappel C.V., Litvin S.Y., Sanchirico J.N.;2014;Biological Conservation;4
Laugen A.T., Engelhard G.H., Whitlock R., Arlinghaus R., Dankel D.J., Dunlop E.S., Eikeset A.M., Enberg K., Jorgensen C., Matsumura S., Nussle S., Urbach D., Baulier L., Boukal D.S., Ernande B., Johnston F.D., Mollet F., Pardoe H., Therkildsen N.O., Uusi-Heikkila S., Vainikka A., Heino M., Rijnsdorp A.D., Dieckmann U.;2014;Fish and Fisheries;18
Yao C.-L., Somero G.N.;2014;Chinese Science Bulletin;2
Von Appen W.-J., Pickart R.S., Brink K.H., Haine T.W.N.;2014;Deep-Sea Research Part I: Oceanographic Research Papers;5
Hemmer-Hansen J., Therkildsen N.O., Meldrup D., Nielsen E.E.;2014;Conservation Genetics;4
Crossin G.T., Cooke S.J., Goldbogen J.A., Phillips R.A.;2014;Marine Ecology Progress Series;5
Bradley C.J., Madigan D.J., Block B.A., Popp B.N.;2014;PLoS ONE;11
Gonzalez Carman V., Acha E.M., Maxwell S.M., Albareda D., Campagna C., Mianzan H.;2014;Marine Pollution Bulletin;4
Connell S.D., Foster M.S., Airoldi L.;2014;Marine Ecology Progress Series;15
Roe J.H., Morreale S.J., Paladino F.V., Shillinger G.L., Benson S.R., Eckert S.A., Bailey H., Tomillo P.S., Bograd S.J., Eguchi T., Dutton P.H., Seminoff J.A., Block B.A., Spotila J.R.;2014;Proceedings of the Royal Society B: Biological Sciences;3
Meyer C.G., O'Malley J.M., Papastamatiou Y.P., Dale J.J., Hutchinson M.R., Anderson J.M., Royer M.A., Holland K.N.;2014;PLoS ONE;2
Firth L.B., Thompson R.C., Bohn K., Abbiati M., Airoldi L., Bouma T.J., Bozzeda F., Ceccherelli V.U., Colangelo M.A., Evans A., Ferrario F., Hanley M.E., Hinz H., Hoggart S.P.G., Jackson J.E., Moore P., Morgan E.H., Perkol-Finkel S., Skov M.W., Strain E.M., van Belzen J., Hawkins S.J.;2014;Coastal Engineering;19
Hejnol A., Lowe C.J.;2014;Current Biology;2
Weinstein M.P., Litvin S.Y., Krebs J.M.;2014;Ecological Engineering;6
Low N.H.N., Drouin A., Marks C.J., Bracken M.E.S.;2014;Biological Invasions;
Micheli F., De Leo G., Shester G.G., Martone R.G., Lluch-Cota S.E., Butner C., Crowder L.B., Fujita R., Gelcich S., Jain M., Lester S.E., McCay B., Pelc R., Saenz-Arroyo A.;2014;Frontiers in Ecology and the Environment;3
Maxwell S.M., Jeglinski J.W.E., Trillmich F., Costa D.P., Raimondi P.T.;2014;Chelonian Conservation and Biology;
McCauley D.J., Young H.S., Power E.A., Bird D.W., Durham W.H., McInturff A., Dunbar R.B., Micheli F., Young H.S.;2014;Biological Conservation;
McCay B.J., Micheli F., Ponce-Diaz G., Murray G., Shester G., Ramirez-Sanchez S., Weisman W.;2014;Marine Policy;10
Strain E.M.A., Thomson R.J., Micheli F., Mancuso F.P., Airoldi L.;2014;Global Change Biology;8
Walter R.K., Woodson C.B., Leary P.R., Monismith S.G.;2014;Journal of Geophysical Research: Oceans;3
Giangrande A., Gambi M.C., Micheli F., Kroeker K.J.;2014;Journal of the Marine Biological Association of the United Kingdom;1
