Virus,Height,time to death
A21,17,12
A21,10,14
A21,14,14
A21,13,15
A21,19,14
A21,18,11
A21,19,14
A21,17,15
A21,13,14
A21,14,14
A21,19,14
A21,20,15
A21,19,14
A21,19,14
A21,19,14
A21,19,14
A21,19,15
A21,19,12
A21,19,14
A21,19,13
A21,16.5,15
A21,18,17
A21,0,18
A21,0,17
A21,2,20
A21,19,16
A21,19,15
A21,5.5,13
A21,17,11
A21,18.5,17
A21,19,16
A21,19,15
A21,15.5,16
A21,13.5,17
A21,18,14
A21,16,15
A21,1.5,16
A21,17,15
A21,0,15
A21,17,16
A21,9,15
A21,18.5,18
A21,13.5,18
A21,17,17
A21,16,13
A21,7.5,14
A21,15,12
A21,15,11
A21,14,15
A21,19,11
A21,17,11
A21,17,15
A21,15.5,17
A21,16,14
A21,19,13
A21,7.5,12
A21,2.5,11
A21,17,13
A21,6,12
A21,17,12
A21,10.5,11
A21,18.5,12
A21,14.5,13
A21,2,16
A21,19,11
A21,7,11
A21,18,11
A21,19,13
A21,18.5,13
A21,18.5,12
A21,12,12
A21,16.5,13
A21,19.5,11
A21,14,21
A21,16,13
A21,5,18
A21,15,13
A21,13.5,17
A21,2,16
A21,16,13
A21,19,13
A21,5,17
A21,0,11
A21,2.5,16
A21,11.5,16
A21,2,15
A21,0,17
A21,0,0
A21,14,15
A21,13,14
A21,14.5,13
A21,18,16
A21,15,12
A21,18,13
A21,12,13
A21,14,14
A21,18.5,9
A21,18,14
A21,15.5,12
A21,0,13
A21,19,15
A21,0,14
A21,17,13
A21,17.5,14
A21,9.5,14
A21,17,12
A21,17,14
A21,2,14
A21,17,15
A21,17,14
A21,14,13
A21,15,12
A21,19,11
A21,19,12
A21,18,15
A21,6,17
A21,0,17
A21,12,19
A21,11,19
A21,0,15
A21,18,18
Egt(-),0,10
Egt(-),1,17
Egt(-),6,14
Egt(-),2,12
Egt(-),9,10
Egt(-),3,12
Egt(-),1,12
Egt(-),0,9
Egt(-),1,12
Egt(-),3,15
Egt(-),5,13
Egt(-),0,12
Egt(-),19,16
Egt(-),0,11
Egt(-),2,12
Egt(-),2,15
Egt(-),2.6,12
Egt(-),3.5,13
Egt(-),0,13
Egt(-),0,14
Egt(-),0,11
Egt(-),11.5,13
Egt(-),2,11
Egt(-),10.5,13
Egt(-),15,14
Egt(-),14,13
Egt(-),7.1,12
Egt(-),3,12
Egt(-),7.5,13
Egt(-),1,12
Egt(-),17,13
Egt(-),0,10
Egt(-),17.5,12
Egt(-),0,16
Egt(-),17.5,10
Egt(-),11,9
Egt(-),3.5,8
Egt(-),16.5,11
Egt(-),0,8
Egt(-),2.5,11
Egt(-),18,11
Egt(-),2.5,9
Egt(-),15,12
Egt(-),0,11
Egt(-),0,16
Egt(-),2.5,9
Egt(-),14.5,10
Egt(-),2.5,10
Egt(-),16,10
Egt(-),12,11
Egt(-),0,9
Egt(-),0,9
Egt(-),3,9
Egt(-),0,9
Egt(-),2,11
Egt(-),15.5,13
Egt(-),0,9
Egt(-),18,9
Egt(-),4,10
Egt(-),17,9
Egt(-),16,10
Egt(-),2.5,11
Egt(-),14.5,10
Egt(-),1,8
Egt(-),18,10
Egt(-),0,8
Egt(-),0,10
Egt(-),0,8
Egt(-),18,11
Egt(-),15,12
Egt(-),13,15
Egt(-),2,12
Egt(-),2,12
Egt(-),2,14
Egt(-),0,13
Egt(-),0,15
Egt(-),11,14
Egt(-),7,13
Egt(-),0,13
Egt(-),6.5,13
Egt(-),6,13
Egt(-),7,14
Egt(-),14,14
Egt(-),16,9
Egt(-),16,12
Egt(-),0,8
Egt(-),4,7
Egt(-),3,11
Egt(-),3,8
Egt(-),15,11
Egt(-),6,11
Egt(-),5.5,13
Egt(-),17,11
Egt(-),3.5,7
Egt(-),17.5,11
Egt(-),15,11
Egt(-),18,11
Egt(-),3,11
Egt(-),14.5,10
Egt(-),16,10
Egt(-),17,10
Egt(-),9,12
Egt(-),0,13
Egt(-),13.5,21
Egt(-),4,12
Egt(-),3,12
Egt(-),4,11
Egt(-),4,12
Egt(-),12,12
Egt(-),15,12
Egt(-),18,12
Egt(-),17,11
Egt(-),0,13
Egt(-),0,12
Egt(-),14,14
Egt(-),17,11
Egt(-),14.5,12
Egt(-),6,12
Egt(-),7,12
Egt(-),7.5,14
Egt(-),17,16
Egt(-),17.5,15
Egt(-),0,16
Egt(-),0,14
Egt(-),7.5,12
Egt(-),0,13
Egt(-),0,15
Egt(-),0,12
Egt(-),15,13
Egt(-),4.5,14
Egt(-),7,14
122b,19,13
122b,17,12
122b,16.5,14
122b,15,15
122b,16.5,11
122b,7.5,7
122b,4.5,16
122b,17,13
122b,13.5,15
122b,18.5,11
122b,18,11
122b,17,10
122b,17,16
122b,17,13
122b,0,8
