Date,Trial #,Species (vs. Nnp),Species group,Total Pre-interaction detox behaviors (2 min),Total Post-interaction detox behaviors (2 min),Total pre or post detox behaviors 2 min,Log (x+1) Total pre or post detox behaviors 2 min,Ln (x+1) Total pre or post detox behaviors 2 min
12-Mar,025,Crem laev,Non Fire Ant,,0,0,0,0
12-Mar,026,Crem laev,Non Fire Ant,,5,5,0.7781512504,1.7917594692
12-Mar,027,Crem laev,Non Fire Ant,,1,1,0.3010299957,0.6931471806
12-Mar,028,Crem laev,Non Fire Ant,,2,2,0.4771212547,1.0986122887
13-Mar,040,Crem laev,Non Fire Ant,,10,10,1.0413926852,2.3978952728
13-Mar,041,Crem laev,Non Fire Ant,,4,4,0.6989700043,1.6094379124
13-Mar,042,Crem laev,Non Fire Ant,,2,2,0.4771212547,1.0986122887
13-Mar,043,Crem laev,Non Fire Ant,,6,6,0.84509804,1.9459101491
13-Mar,060,Crem laev,Non Fire Ant,,1,1,0.3010299957,0.6931471806
13-Mar,061,Crem laev,Non Fire Ant,,2,2,0.4771212547,1.0986122887
13-Mar,062,Crem laev,Non Fire Ant,,2,2,0.4771212547,1.0986122887
14-Mar,063,Crem laev,Non Fire Ant,,0,0,0,0
08/01/13,200,Crem laev,Non Fire Ant,,2,2,0.4771212547,1.0986122887
08/01/13,204,Crem laev,Non Fire Ant,,1,1,0.3010299957,0.6931471806
08/07/13,214,Crem laev,Non Fire Ant,,1,1,0.3010299957,0.6931471806
08/07/13,221,Crem laev,Non Fire Ant,,1,1,0.3010299957,0.6931471806
08/09/13,228,Crem laev,Non Fire Ant,,0,0,0,0
08/09/13,235,Crem laev,Non Fire Ant,,11,11,1.079181246,2.4849066498
08/09/13,243,Crem laev,Non Fire Ant,,0,0,0,0
08/09/13,250,Crem laev,Non Fire Ant,,9,9,1,2.302585093
08/09/13,257,Crem laev,Non Fire Ant,,2,2,0.4771212547,1.0986122887
12-Mar,021,For pruin,Non Fire Ant,,11,11,1.079181246,2.4849066498
12-Mar,022,For pruin,Non Fire Ant,,1,1,0.3010299957,0.6931471806
12-Mar,023,For pruin,Non Fire Ant,,0,0,0,0
12-Mar,024,For pruin,Non Fire Ant,,0,0,0,0
13-Mar,044,For pruin,Non Fire Ant,,0,0,0,0
13-Mar,045,For pruin,Non Fire Ant,,0,0,0,0
13-Mar,046,For pruin,Non Fire Ant,,0,0,0,0
13-Mar,047,For pruin,Non Fire Ant,,0,0,0,0
14-Mar,068,For pruin,Non Fire Ant,,3,3,0.6020599913,1.3862943611
14-Mar,069,For pruin,Non Fire Ant,,0,0,0,0
14-Mar,070,For pruin,Non Fire Ant,,1,1,0.3010299957,0.6931471806
14-Mar,071,For pruin,Non Fire Ant,,0,0,0,0
11/27/12,092,For pruin,Non Fire Ant,,0,0,0,0
11/27/12,097,For pruin,Non Fire Ant,,0,0,0,0
11/27/12,103,For pruin,Non Fire Ant,,7,7,0.903089987,2.0794415417
11/27/12,106,For pruin,Non Fire Ant,,0,0,0,0
11/27/12,109,For pruin,Non Fire Ant,,0,0,0,0
08/14/13,265,For pruin,Non Fire Ant,,8,8,0.9542425094,2.1972245773
08/14/13,270,For pruin,Non Fire Ant,,3,3,0.6020599913,1.3862943611
08/14/13,274,For pruin,Non Fire Ant,,0,0,0,0
11/27/12,090,Lh,Non Fire Ant,,0,0,0,0
11/27/12,094,Lh,Non Fire Ant,,0,0,0,0
11/27/12,095,Lh,Non Fire Ant,,0,0,0,0
11/27/12,099,Lh,Non Fire Ant,,0,0,0,0
11/27/12,102,Lh,Non Fire Ant,,0,0,0,0
11/27/12,105,Lh,Non Fire Ant,,0,0,0,0
11/27/12,107,Lh,Non Fire Ant,,0,0,0,0
08/01/13,210,Lh,Non Fire Ant,,0,0,0,0
08/07/13,217,Lh,Non Fire Ant,,3,3,0.6020599913,1.3862943611
08/07/13,224,Lh,Non Fire Ant,,2,2,0.4771212547,1.0986122887
08/09/13,231,Lh,Non Fire Ant,,6,6,0.84509804,1.9459101491
08/09/13,238,Lh,Non Fire Ant,,0,0,0,0
08/09/13,246,Lh,Non Fire Ant,,0,0,0,0
08/09/13,253,Lh,Non Fire Ant,,0,0,0,0
08/09/13,259,Lh,Non Fire Ant,,0,0,0,0
08/14/13,279,Lh,Non Fire Ant,,2,2,0.4771212547,1.0986122887
08/14/13,280,Lh,Non Fire Ant,,5,5,0.7781512504,1.7917594692
08/14/13,281,Lh,Non Fire Ant,,3,3,0.6020599913,1.3862943611
08/14/13,282,Lh,Non Fire Ant,,3,3,0.6020599913,1.3862943611
08/09/13,283,Lh,Non Fire Ant,,8,8,0.9542425094,2.1972245773
12-Mar,017,Mon min,Non Fire Ant,,0,0,0,0
12-Mar,018,Mon min,Non Fire Ant,,0,0,0,0
12-Mar,019,Mon min,Non Fire Ant,,0,0,0,0
12-Mar,020,Mon min,Non Fire Ant,,8,8,0.9542425094,2.1972245773
13-Mar,052,Mon min,Non Fire Ant,,2,2,0.4771212547,1.0986122887
13-Mar,053,Mon min,Non Fire Ant,,0,0,0,0
13-Mar,054,Mon min,Non Fire Ant,,2,2,0.4771212547,1.0986122887
13-Mar,055,Mon min,Non Fire Ant,,2,2,0.4771212547,1.0986122887
14-Mar,076,Mon min,Non Fire Ant,,2,2,0.4771212547,1.0986122887
14-Mar,077,Mon min,Non Fire Ant,,2,2,0.4771212547,1.0986122887
14-Mar,078,Mon min,Non Fire Ant,,3,3,0.6020599913,1.3862943611
14-Mar,079,Mon min,Non Fire Ant,,0,0,0,0
08/01/13,208,Mon min,Non Fire Ant,,1,1,0.3010299957,0.6931471806
08/07/13,223,Mon min,Non Fire Ant,,0,0,0,0
08/09/13,230,Mon min,Non Fire Ant,,3,3,0.6020599913,1.3862943611
08/09/13,237,Mon min,Non Fire Ant,,1,1,0.3010299957,0.6931471806
08/09/13,245,Mon min,Non Fire Ant,,0,0,0,0
08/14/13,269,Mon min,Non Fire Ant,,2,2,0.4771212547,1.0986122887
08/14/13,272,Mon min,Non Fire Ant,,1,1,0.3010299957,0.6931471806
08/14/13,277,Mon min,Non Fire Ant,,0,0,0,0
14-Mar,068,No Conflict,No Conflict,0,,0,0,0
14-Mar,069,No Conflict,No Conflict,0,,0,0,0
14-Mar,070,No Conflict,No Conflict,0,,0,0,0
14-Mar,071,No Conflict,No Conflict,0,,0,0,0
14-Mar,072,No Conflict,No Conflict,0,,0,0,0
14-Mar,073,No Conflict,No Conflict,0,,0,0,0
14-Mar,074,No Conflict,No Conflict,0,,0,0,0
14-Mar,075,No Conflict,No Conflict,0,,0,0,0
14-Mar,076,No Conflict,No Conflict,0,,0,0,0
14-Mar,077,No Conflict,No Conflict,0,,0,0,0
14-Mar,078,No Conflict,No Conflict,0,,0,0,0
14-Mar,079,No Conflict,No Conflict,0,,0,0,0
08/01/13,202,No Conflict,No Conflict,0,,0,0,0
08/01/13,203,No Conflict,No Conflict,0,,0,0,0
08/07/13,220,No Conflict,No Conflict,0,,0,0,0
08/09/13,227,No Conflict,No Conflict,0,,0,0,0
08/09/13,234,No Conflict,No Conflict,0,,0,0,0
08/09/13,242,No Conflict,No Conflict,1,,1,0.3010299957,0.6931471806
08/09/13,249,No Conflict,No Conflict,0,,0,0,0
08/09/13,256,No Conflict,No Conflict,0,,0,0,0
08/09/13,260,No Conflict,No Conflict,2,,2,0.4771212547,1.0986122887
08/14/13,267,No Conflict,No Conflict,1,,1,0.3010299957,0.6931471806
08/14/13,268,No Conflict,No Conflict,0,,0,0,0
08/14/13,273,No Conflict,No Conflict,0,,0,0,0
08/14/13,275,No Conflict,No Conflict,0,,0,0,0
12-Mar,029,Sol gem,Non-inv FA,,4,4,0.6989700043,1.6094379124
12-Mar,030,Sol gem,Non-inv FA,,2,2,0.4771212547,1.0986122887
12-Mar,031,Sol gem,Non-inv FA,,0,0,0,0
12-Mar,032,Sol gem,Non-inv FA,,1,1,0.3010299957,0.6931471806
13-Mar,056,Sol gem,Non-inv FA,,0,0,0,0
13-Mar,057,Sol gem,Non-inv FA,,0,0,0,0
13-Mar,058,Sol gem,Non-inv FA,,1,1,0.3010299957,0.6931471806
13-Mar,059,Sol gem,Non-inv FA,,0,0,0,0
14-Mar,064,Sol gem,Non-inv FA,,2,2,0.4771212547,1.0986122887
14-Mar,065,Sol gem,Non-inv FA,,1,1,0.3010299957,0.6931471806
14-Mar,066,Sol gem,Non-inv FA,,4,4,0.6989700043,1.6094379124
14-Mar,067,Sol gem,Non-inv FA,,2,2,0.4771212547,1.0986122887
08/07/13,213,Sol gem,Non-inv FA,,3,3,0.6020599913,1.3862943611
08/07/13,226,Sol gem,Non-inv FA,,2,2,0.4771212547,1.0986122887
08/09/13,233,Sol gem,Non-inv FA,,15,15,1.2041199827,2.7725887222
08/09/13,241,Sol gem,Non-inv FA,,1,1,0.3010299957,0.6931471806
08/09/13,248,Sol gem,Non-inv FA,,1,1,0.3010299957,0.6931471806
08/09/13,255,Sol gem,Non-inv FA,,4,4,0.6989700043,1.6094379124
08/09/13,262,Sol gem,Non-inv FA,,1,1,0.3010299957,0.6931471806
08/14/13,278,Sol gem,Non-inv FA,,3,3,0.6020599913,1.3862943611
12-Mar,001,Sol invicta,S inv,,4,4,0.6989700043,1.6094379124
12-Mar,002,Sol invicta,S inv,,4,4,0.6989700043,1.6094379124
12-Mar,003,Sol invicta,S inv,,2,2,0.4771212547,1.0986122887
12-Mar,004,Sol invicta,S inv,,4,4,0.6989700043,1.6094379124
12-Mar,005,Sol invicta,S inv,,10,10,1.0413926852,2.3978952728
12-Mar,006,Sol invicta,S inv,,2,2,0.4771212547,1.0986122887
12-Mar,007,Sol invicta,S inv,,22,22,1.361727836,3.1354942159
12-Mar,008,Sol invicta,S inv,,3,3,0.6020599913,1.3862943611
12-Mar,009,Sol invicta,S inv,,12,12,1.1139433523,2.5649493575
12-Mar,010,Sol invicta,S inv,,5,5,0.7781512504,1.7917594692
12-Mar,011,Sol invicta,S inv,,7,7,0.903089987,2.0794415417
12-Mar,012,Sol invicta,S inv,,9,9,1,2.302585093
08/01/13,212,Sol invicta,S inv,,6,6,0.84509804,1.9459101491
08/07/13,219,Sol invicta,S inv,,6,6,0.84509804,1.9459101491
08/07/13,225,Sol invicta,S inv,,1,1,0.3010299957,0.6931471806
08/09/13,239,Sol invicta,S inv,,10,10,1.0413926852,2.3978952728
08/09/13,240,Sol invicta,S inv,,18,18,1.278753601,2.9444389792
08/09/13,247,Sol invicta,S inv,,2,2,0.4771212547,1.0986122887
08/09/13,254,Sol invicta,S inv,,2,2,0.4771212547,1.0986122887
08/09/13,261,Sol invicta,S inv,,5,5,0.7781512504,1.7917594692
11/27/12,091,Sr,Non-inv FA,,2,2,0.4771212547,1.0986122887
5-Dec,116,Sr,Non-inv FA,,1,1,0.3010299957,0.6931471806
5-Dec,124,Sr,Non-inv FA,,7,7,0.903089987,2.0794415417
5-Dec,134,Sr,Non-inv FA,,0,0,0,0
5-Dec,141,Sr,Non-inv FA,,0,0,0,0
12/07/12,144,Sr,Non-inv FA,,2,2,0.4771212547,1.0986122887
12/11/12,149,Sr,Non-inv FA,,3,3,0.6020599913,1.3862943611
12/11/12,153,Sr,Non-inv FA,,3,3,0.6020599913,1.3862943611
12-Dec,160,Sr,Non-inv FA,,5,5,0.7781512504,1.7917594692
12-Dec,163,Sr,Non-inv FA,,1,1,0.3010299957,0.6931471806
12-Dec,163,Sr,Non-inv FA,,1,1,0.3010299957,0.6931471806
12-Dec,168,Sr,Non-inv FA,,1,1,0.3010299957,0.6931471806
12/13/12,175,Sr,Non-inv FA,,0,0,0,0
12/13/12,179,Sr,Non-inv FA,,4,4,0.6989700043,1.6094379124
12/13/12,183,Sr,Non-inv FA,,2,2,0.4771212547,1.0986122887
12/13/12,186,Sr,Non-inv FA,,3,3,0.6020599913,1.3862943611
12/13/12,189,Sr,Non-inv FA,,1,1,0.3010299957,0.6931471806
12/13/12,190,Sr,Non-inv FA,,3,3,0.6020599913,1.3862943611
12/13/12,191,Sr,Non-inv FA,,0,0,0,0
12/13/12,192,Sr,Non-inv FA,,0,0,0,0
